State,Refiner,Location,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Calendar_Day_Operating,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Calendar_Day_Idle,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Stream_Day_Operating,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Stream_Day_Idle,Downstream_Charge_Capacity_Vacuum_Distillation,Downstream_Charge_Capacity_Thermal_Cracking_Delayed_Coking,Downstream_Charge_Capacity_Thermal_Cracking_Fluid_Coking,Downstream_Charge_Capacity_Thermal_Cracking_Visbreaking,Downstream_Charge_Capacity_Other_Gas_Oil,Catalytic_Cracking_Charge_Capacity_Fresh_Feed,Catalytic_Cracking_Charge_Capacity_Recycled_Feed,Catalytic_Cracking_Charge_Capacity_Distillate,Catalytic_Cracking_Charge_Capacity_Gas_Oil,Catalytic_Cracking_Charge_Capacity_Residual,Hydrocracking_Charge_Capacity_Low_Pressure,Hydrocracking_Charge_Capacity_High_Pressure,Fuels_Solvent_Deasphalting_Capacity,Desulfurization_Capacity_Naphtha_Reformer_Feed,Desulfurization_Capacity_Gasoline,Desulfurization_Capacity_Kerosene_Jet_Fuel,Desulfurization_Capacity_Diesel_Fuel,Desulfurization_Capacity_Other_Distillate,Desulfurization_Capacity_Residual,Desulfurization_Capacity_Heavy_Gas_Oil,Desulfurization_Capacity_Other
Louisiana,Placid Refining Co,Port Allen,75000,0,82500,0,27000,0,0,0,0,25000,500,0,0,0,11500,0,12000,12000,20000,0,25000,0,0,0,0
Louisiana,Shell Oil Products US,Norco,231827,0,250000,0,91300,28500,0,0,0,118800,0,0,44000,0,40000,0,0,42000,77000,0,70000,0,0,0,0
Louisiana,Valero Refining - Meraux LLC,Meraux,125000,0,135000,0,56600,0,0,0,0,0,0,0,48700,0,32000,0,22000,40000,0,15000,40000,0,0,0,0
Louisiana,Valero Refining New Orleans LLC,Norco,215000,0,235000,0,180000,86000,0,0,0,100000,0,28000,85000,0,25000,0,0,45000,60000,0,66000,0,0,24000,0
Michigan,Marathon Petroleum Co LP,Detroit,144000,0,152000,0,90500,40500,0,0,0,44000,0,0,0,0,21500,0,0,36500,0,8000,51000,0,0,44500,0
Minnesota,Flint Hills Resources LP,Saint Paul,335000,0,375000,0,234000,82000,0,0,0,96000,0,67000,0,0,36000,13000,0,49000,57000,43500,63500,0,0,128000,0
Minnesota,St Paul Park Refining Co LLC,Saint Paul,105000,0,111000,0,51000,0,0,0,0,31000,2500,0,0,0,0,23500,4500,25000,0,10000,32000,0,0,31000,0
Mississippi,Chevron USA Inc,Pascagoula,356440,0,375200,0,334000,104000,0,0,0,88000,0,0,119000,0,61600,40000,0,62000,0,34000,35500,0,0,104000,50000
Mississippi,Ergon Refining Inc,Vicksburg,26500,0,27300,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,20500
Mississippi,Hunt Southland Refining Co,Sandersville,11000,0,12500,0,6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Calumet Montana Refining LLC,Great Falls,15000,0,17000,0,10000,0,0,0,0,3000,0,0,0,0,0,1400,0,2750,0,0,7000,0,0,0,0
Montana,Cenex Harvest States Coop,Laurel,62500,0,64000,0,32200,16000,0,0,0,16500,0,0,0,0,12500,0,0,17000,0,0,0,25000,0,20000,0
Montana,Par Montana LLC,Billings,61500,0,62900,0,32300,0,10000,0,0,23660,0,6200,0,0,0,12500,0,13900,20500,7600,11000,0,0,0,7900
Montana,Phillips 66 Company,Billings,66000,0,72975,0,49900,20050,0,0,0,24900,0,0,0,0,0,9000,0,12250,7300,5800,29100,0,0,27900,0
Nevada,Foreland Refining Corp,Ely,2000,0,5000,0,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,CPI Operations LLC,Paulsboro,0,32000,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,Paulsboro Refining Co LLC,Paulsboro,100000,60000,105000,61000,90000,0,0,0,0,0,0,0,0,0,32000,0,0,32000,0,29100,46000,0,0,0,0
New Jersey,Phillips 66 Company,Linden,258500,0,272135,0,75000,0,0,0,0,145000,0,0,0,0,0,37039,22000,38944,65500,0,109697,0,0,0,0
New Mexico,HF Sinclair Navajo Refining LLC,Artesia,110000,0,124000,0,34300,0,0,0,0,30000,0,0,18000,0,24000,0,18000,42000,0,15000,43000,0,0,18000,0
North Dakota,Tesoro Refining & Marketing Co,Mandan,71000,0,75500,0,0,0,0,0,0,28000,3600,0,0,0,0,12500,0,29600,0,7000,25500,0,0,0,0
Ohio,Lima Refining Company,Lima,183000,0,185000,0,57000,23000,0,0,0,45300,0,0,26000,0,0,55000,0,63000,35000,27000,36000,0,0,0,0
Ohio,Marathon Petroleum Co LP,Canton,100000,0,105000,0,35000,0,0,0,0,24000,0,0,0,0,23500,0,0,36500,0,13500,25500,0,0,22500,0
Ohio,Ohio Refining Company LLC,Toledo,150800,0,160000,0,72500,36000,0,0,0,55000,0,0,32500,0,42000,0,0,42000,0,0,22500,0,0,53000,0
Ohio,Toledo Refining Co LLC,Toledo,172800,0,180000,0,0,0,0,0,0,82000,0,52000,0,0,0,51800,0,45900,72000,32000,0,0,0,0,0
Oklahoma,CVR Refining WYN LLC,Wynnewood,74500,0,78000,0,34000,0,0,0,0,21200,0,0,0,0,18700,0,0,29300,14900,0,28200,0,0,0,0
Oklahoma,HF Sinclair Tulsa Refining LLC,Tulsa East,70300,0,75500,0,27000,0,0,0,0,28000,2000,0,0,0,25000,0,0,25000,29000,0,45000,0,0,0,0
Oklahoma,HF Sinclair Tulsa Refining LLC,Tulsa West,85000,0,91020,0,32000,9300,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,21600
Oklahoma,Phillips 66 Company,Ponca City,216700,0,236927,0,84802,27300,0,0,0,69935,0,0,0,0,0,49258,0,49258,53979,18902,37136,39161,0,22425,14256
Oklahoma,Valero Refining Co Oklahoma,Ardmore,86000,0,90000,0,32000,0,0,0,0,30000,0,14000,0,0,20500,0,0,27000,16500,0,35000,0,0,34450,0
Pennsylvania,American Refining Group Inc,Bradford,11000,0,11800,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,3900,0,0,4800,0,0,0,0
Pennsylvania,Monroe Energy LLC,Trainer,190000,0,208000,0,73000,0,0,0,0,53000,0,23000,0,0,50000,0,0,80000,34000,23300,53300,0,0,0,0
