Code,Commodity,All Traffic Directions CY2023,All Traffic Directions CY2022,All Traffic Directions CY2021,All Traffic Directions CY2020,All Traffic Directions CY2019,Intraport CY2023,Intraport CY2022,Intraport CY2021,Intraport CY2020,Intraport CY2019,Receipts CY2023,Receipts CY2022,Receipts CY2021,Receipts CY2020,Receipts CY2019,Shipments CY2023,Shipments CY2022,Shipments CY2021,Shipments CY2020,Shipments CY2019
3298,Wood & Resin Chem.,1005,600,1234,724,1015,0,0,0,0,0,822,380,513,537,443,183,220,721,187,572
3299,Chem. Products NEC,185976,187336,225186,394143,340404,0,0,0,0,0,116709,110421,108733,188048,114482,69267,76915,116453,206095,225922
4110,Rubber & Gums,995,3135,7009,5584,6295,0,0,0,0,0,739,3001,7009,5539,4687,256,134,0,45,1608
4150,Fuel Wood,3628,6405,6972,5801,3604,0,0,0,0,0,2640,5542,6193,5313,2601,988,863,779,488,1003
4161,Wood Chips,9390,3349,3282,2399,773,0,0,0,0,0,8958,1812,990,1967,366,432,1537,2292,432,407
4170,Wood in the Rough,107167,126705,94720,75585,83772,0,0,0,0,0,2086,2037,3456,3714,12097,105081,124668,91264,71871,71675
4189,Lumber,205859,394717,211898,219394,405403,0,0,0,0,0,124741,319537,138107,163286,357641,81118,75180,73791,56108,47762
4190,Forest Products NEC,20983,37029,38025,81208,52225,0,0,0,0,0,20151,35354,35948,59639,41886,832,1675,2077,21569,10339
4225,Pulp & Waste Paper,1579617,1818274,1901770,1654618,1598455,0,0,0,0,0,25273,33036,36309,26992,10157,1554344,1785238,1865461,1627626,1588298
4310,Building Stone,18929,24670,28360,21592,151324,0,0,0,0,0,18735,24642,28322,20726,149508,194,28,38,866,1816
4322,Limestone,1757,6617,5084,5934,6461,0,0,0,0,0,1731,6213,5015,5780,6379,26,404,69,154,82
4323,Gypsum,250997,249505,265800,226735,285076,0,0,0,0,0,249573,247157,263433,224814,282889,1424,2348,2367,1921,2187
4327,Phosphate Rock,0,33,0,45,22,0,0,0,0,0,0,0,0,2,0,0,33,0,43,22
4331,Sand & Gravel,1005013,834278,1166273,1560028,964805,0,0,0,0,0,1002077,832581,1164950,1558318,963002,2936,1697,1323,1710,1803
4410,Iron Ore,1321153,1617945,1770870,220548,12286,0,0,0,0,0,355,68,291,145,12228,1320798,1617877,1770579,220403,58
4420,Iron & Steel Scrap,1140749,963387,508727,533620,561761,0,0,0,0,0,12196,10014,10075,8066,7775,1128553,953373,498652,525554,553986
4515,Marine Shells,644,1593,1235,3129,2220,0,0,0,0,0,570,1531,1202,3057,2103,74,62,33,72,117
4630,Copper Ore,346,88,867,3516,1171,0,0,0,0,0,302,88,615,677,519,44,0,252,2839,652
4650,Aluminum Ore,12375,14028,9713,27139,11601,0,0,0,0,0,6640,6356,4863,3597,6064,5735,7672,4850,23542,5537
4670,Manganese Ore,222,68,6,34,0,0,0,0,0,0,214,68,6,23,0,8,0,0,11,0
